Idioms,Meaning 1,Meaning 2,Meaning 3,Meaning 4,Meaning 5,Sentence 1,Sentence 2,Sentence 3,Sentence 4
have a thin time (of it),"to experience a difficult or unfortunate time, especially because of a shortage of money.",,,,,Jack had a thin time of it when he was a student. He didn’t have enough to eat. ,The Browns had a thin time of it when the children were small and Mr. Brown was poorly paid. ,,
have a word with someone,"to speak to someone, usually privately.",,,,,The manager asked to have a word with me when I was not busy. ,"John, could I have a word with you? We need to discuss something. ",,
have bats in one’s belfry,to be slightly crazy.,,,,,Poor old Tom has bats in his belfry. ,"Don’t act so silly, John. People will think you have bats in your belfry. ",,
have been through the mill,to have been badly treated, to have suffered hardship or difficulties.,,,,This has been a rough day. I’ve really been through the mill. ,"She’s quite well now, but she’s been really through the mill with her illness. ",,
have clean hands,to be guiltless.,,,,,Don’t look at me. I have clean hands. ,"The police took him in, but let him go again because he had clean hands. ",,
have egg on one’s face,to be embarrassed because of an error which is obvious to everyone.,,,,,Bob has egg on his face because he wore jeans to the affair and everyone else wore formal clothing. ,John was completely wrong about the weather for the picnic. It snowed! Now he has egg on his face. ,,
have eyes in the back of one’s head,to seem to be able to sense what is going on beyond one’s vision.,,,,,My teacher seems to have eyes in the back of her head. ,My teacher doesn’t need to have eyes in the back of his head. He watches us very carefully. ,,
have feet of clay,to have a defect of character.,,,,,All human beings have feet of clay. No one is perfect. ,"Sally prided herself on her com- plete honesty. She was nearly fifty before she learned that she, too, had feet of clay. ",,
have green fingers,to have the ability to grow plants well.,,,,,Just look at Mr. Simpson’s garden. He has green fingers. ,My mother has green fingers when it comes to house-plants. ,,
have half a mind to do something,"to have almost decided to do something, especially something unpleasant.",,,,,I have half a mind to go off and leave you here. ,The cook had half a mind to serve cold chicken. ,,
have (high) hopes of something,to be expecting something.,,,,,I have hopes of getting there early. ,We have high hopes that John and Mary will have a girl. ,,
have it both ways,to have both of two seemingly incompatible things.,,,,,John wants the security of marriage and the freedom of being single. He wants to have it both ways. ,John thinks he can have it both waysthe wisdom of age and the vigour of youth. ,,
have money to burn,to have lots of money, to have more money than one needs.,,,,Look at the way Tom buys things. You’d think he had money to burn. ,"If I had money to burn, I’d just put it in the bank. ",,
have no business doing something,to be wrong to do something, to be extremely unwise to do something.,,,,You have no business bursting in on me like that! ,You have no business spending money like that! ,,
have none of something,to tolerate or endure no amount of something.,,,,,I’ll have none of your talk about leaving school. ,We’ll have none of your gossip. ,,
have no staying-power,to lack endurance, not to be able to last.,,,,"Sally can swim fast for a short distance, but she has no stayingpower. ","That horse can race fairly well, but it has no staying-power. ",,
have one’s back to the wall,to be in a defensive position, to be in (financial) difficulties.,,,,He’ll have to give in. He has his back to the wall. ,How can I bargain when I’ve got my back to the wall? ,,
have one’s ear to the ground,"to listen carefully, hoping to get advance warning of something.",,,,,"John had his ear to the ground, hoping to find out about new ideas in computers. ",,,
keep one’s ear to the ground," to listen carefully, hoping to get advance warning of something",,,,,Keep your ear to the ground for news of possible jobs.,,,
have one’s feet on the ground,to be or remain realistic or practical.,,,,,They are ambitious but have their feet firmly on the ground.,,,
have one’s finger in the pie,to be involved in something.,,,,,I like to have my finger in the pie so I can make sure things go my way. ,"As long as John has his finger in the pie, things will happen slowly. ",,
have one’s hand in the till,to be stealing money from a company or an organization.,,,,,Mr. Jones had his hand in the till for years before he was caught. ,I think that the new shop assistant has her hand in the till. There is cash missing every morning. ,,
have one’s head in the clouds,to be unaware of what is going on.,,,,,"“Bob, do you have your head in the clouds?” said the teacher. ",She walks around all day with her head in the clouds. She must be in love. ,,
have one’s heart in one’s boots,to be very depressed, to have little or no hope.,,,,My heart’s in my boots when I think of going back to work. ,Jack’s heart was in his boots when he thought of leaving home.,,
have one’s nose in a book,to be reading a book, to read books all the time.,,,,Bob has his nose in a book every time I see him. ,His nose is always in a book. He never gets any exercise. ,,
have one’s nose in the air,to be conceited or aloof.,,,,,Mary always seems to have her nose in the air. ,She keeps her nose in the air and never notices him. ,,
have one’s wits about one,to concentrate, to have one’s mind working.,,,,You have to have your wits about you when you are dealing with John. ,She had to have her wits about her when living in the city. ,,
keep one’s wits about one,"to keep one’s mind operating, especially in a time of stress.",,,,,"If Jane hadn’t kept her wits about her during the fire, things would have been much worse. ",,,
have one’s work cut out (for one),to have a large and difficult task prepared for one.,,,,,"They sure have their work cut out for them, and it’s going to be hard. ",There is a lot for Bob to do. He has his work cut out. ,,
one’s work is cut out (for one),one’s task is prepared for one, one has a lot of work to do.,,,,This is a big job. My work is certainly cut out for me. ,,,
have other fish to fry,to have other things to do, to have more important things to do.,,,,I don’t have time for your problems. I have other fish to fry. ,I won’t waste time on your question. I have bigger fish to fry. ,,
